offer_id,price_segment,price_rub,pred_rub,residual_rub
312099140,business,49990,56308.49679057845,-6318.496790578451
328265888,premium,300000,315543.3121488398,-15543.312148839817
285039751,econom,80000,111922.2994999062,-31922.299499906207
330425793,business,90000,68910.59432806316,21089.40567193684
319232127,business,53000,52413.6704996147,586.3295003852982
329022424,comfort,90000,80810.00167362511,9189.998326374887
330244310,comfort,65000,69724.99627005265,-4724.996270052652
321862980,business,129000,131103.72925637377,-2103.729256373772
321504057,econom,40000,29638.730382571797,10361.269617428203
329389389,comfort,100000,108167.88231348332,-8167.882313483322
330350423,econom,53000,61120.83910892363,-8120.839108923632
326507406,comfort,60000,57831.529186630825,2168.4708133691747
329764927,econom,70000,63763.31681684994,6236.68318315006
319522218,comfort,110000,95147.31692707482,14852.683072925181
329244906,econom,45000,51782.14725486874,-6782.147254868738
328978674,business,75000,82045.33600668989,-7045.3360066898895
330798716,comfort,100000,105214.42122002554,-5214.421220025542
330013373,comfort,85000,66998.41062032696,18001.589379673038
330332697,premium,150000,125749.3082777387,24250.691722261297
330792674,comfort,35000,38311.07255008947,-3311.0725500894696
330294735,econom,99900,112725.1344080432,-12825.134408043203
328905604,comfort,40000,38477.49483371892,1522.5051662810802
309707766,business,125000,106916.61074729882,18083.389252701178
330706447,econom,100000,164697.3878391431,-64697.387839143106
330855101,econom,87300,100894.06235989064,-13594.062359890639
321282085,premium,135000,124267.55905363016,10732.44094636984
330741449,business,49999,56292.8864389332,-6293.886438933201
325602137,business,100000,103144.58525641868,-3144.585256418679
267442593,econom,35000,46108.47678163848,-11108.476781638477
330471209,econom,65000,66379.36355033211,-1379.363550332113
306356236,business,95000,90083.97861328212,4916.021386717883
321978126,comfort,95000,99897.50743561324,-4897.507435613239
329857231,comfort,90000,83986.50524254548,6013.494757454522
330729638,econom,78000,74996.14906092662,3003.8509390733816
330407949,premium,300000,254892.485501113,45107.514498887
327604853,premium,90000,82658.80504940459,7341.194950595411
314366582,business,75000,79465.45148786293,-4465.451487862927
330837119,comfort,85000,80905.71751885732,4094.2824811426835
329842507,econom,45000,53752.88200711929,-8752.88200711929
330738979,business,160000,185715.24527389705,-25715.245273897046
330915802,comfort,87000,120980.55917881348,-33980.55917881348
298435765,business,55000,54169.16774400352,830.83225599648
330486073,comfort,65000,73396.02364855411,-8396.02364855411
330468541,business,60000,59867.800521936,132.1994780640016
330665039,econom,80000,78988.38567563631,1011.6143243636907
327801733,comfort,87000,76784.02245258777,10215.977547412229
276668230,comfort,210000,257767.32782831148,-47767.32782831148
