rooms,area_sqm,living_area_sqm,kitchen_area_sqm,floor,floors_total,metro_time_min,build_year,prepay_months,rooms_was_missing,living_area_sqm_missing,kitchen_area_sqm_missing,build_year_missing,prepay_months_missing,is_agent,district_grouped_te,metro_grouped_te,repair_type_cosmetic,repair_type_design,repair_type_euro,repair_type_no,repair_type_unknown,house_material_unknown,house_material_Блочный,house_material_Кирпичный,house_material_Монолитно кирпичный,house_material_Монолитный,house_material_Панельный,log_price_rub
2.0,36.0,31.0,10.0,11,17,10.0,2001.0,1.0,0,1,1,1,1,1,11.47568309006193,11.472124696413772,False,False,False,False,True,True,False,False,False,False,False,11.289794413577894
2.0,40.0,31.0,14.0,18,36,10.0,2023.0,1.0,0,1,0,0,0,1,11.229083405579512,11.232453653452305,False,True,False,False,False,False,False,False,False,True,False,11.51293546492023
2.0,37.0,28.0,7.0,11,12,9.0,1971.0,1.0,0,0,0,0,0,0,11.504631066895532,11.656305669970285,False,False,True,False,False,True,False,False,False,False,False,10.968215530759236
1.0,32.0,20.0,6.0,5,9,6.0,1967.0,1.0,0,0,0,0,0,1,11.22286878881918,11.266206414625461,True,False,False,False,False,False,False,True,False,False,False,10.819798284210286
0.0,47.0,47.0,5.0,17,21,4.0,2021.0,1.0,1,0,1,1,0,0,11.383297219173842,11.463654281657279,False,True,False,False,False,True,False,False,False,False,False,11.60824473564232
1.0,37.6,19.0,12.0,3,16,3.0,2001.0,1.0,0,1,0,1,0,0,11.03994227161258,10.991818175550998,False,True,False,False,False,True,False,False,False,False,False,11.264476926102368
1.0,45.3,19.0,12.0,6,17,6.0,2015.0,1.0,0,1,0,0,0,0,11.03994227161258,11.117135293005042,False,False,True,False,False,False,False,True,False,False,False,11.082157933374816
2.0,56.3,40.0,8.0,4,5,9.0,1958.0,1.0,0,0,0,0,0,0,11.429675569260086,11.43339760775645,False,True,False,False,False,False,False,True,False,False,False,11.695255355062796
2.0,59.0,36.0,10.0,2,17,6.0,2011.0,1.0,0,0,0,0,0,1,11.383297219173842,11.463654281657279,True,False,False,False,False,False,False,False,False,False,True,11.350418300109132
1.0,37.0,19.0,10.0,9,19,6.0,2013.0,1.0,0,0,0,0,0,1,11.079707015850346,11.074538131765559,False,False,True,False,False,False,False,False,False,False,True,10.819798284210286
2.0,38.6,17.0,7.0,12,13,19.0,2019.0,1.0,0,0,0,0,0,1,11.139450103571626,11.162643424343365,False,True,False,False,False,False,False,False,False,False,True,11.156264806643742
2.0,37.0,31.0,10.0,13,24,3.0,2001.0,1.0,0,1,1,1,1,1,11.397191022644797,11.375952900317408,False,False,False,False,True,True,False,False,False,False,False,11.225256725762891
1.0,37.5,18.0,11.0,4,17,3.0,2016.0,1.0,0,0,0,0,0,1,11.113704892169949,10.922856385193022,False,False,True,False,False,False,False,False,False,True,False,10.819798284210286
2.0,85.0,50.0,15.0,6,22,18.0,2007.0,1.0,0,0,0,0,0,1,12.203890590270259,12.331626584508442,False,True,False,False,False,False,False,False,False,True,False,12.013706813470414
1.0,38.0,20.0,8.0,11,14,1.0,2006.0,1.0,0,0,0,0,0,0,11.047825743082674,11.105090359046693,True,False,False,False,False,False,False,False,False,False,True,11.002116507732016
